,timestamp,packet_length,four_tuple
8493,1740992189.496263718,154,8073980214501698185
8494,1740992189.496303649,62,59413444695554920
8495,1740992189.496341902,62,59413444695554920
8496,1740992189.498331882,154,8073980214501698185
8497,1740992189.498487715,62,59413444695554920
8498,1740992189.502506706,151,8073980214501698185
8499,1740992189.502641096,62,59413444695554920
8500,1740992189.502709299,145,8073980214501698185
8501,1740992189.502783430,154,8073980214501698185
8502,1740992189.502862441,62,59413444695554920
8503,1740992189.502862464,62,59413444695554920
8504,1740992189.502951356,153,8073980214501698185
8505,1740992189.503033579,62,59413444695554920
8506,1740992189.503125152,152,8073980214501698185
8507,1740992189.503186913,145,8073980214501698185
8508,1740992189.503267543,62,59413444695554920
8509,1740992189.503267579,62,59413444695554920
8510,1740992189.503395612,154,8073980214501698185
8511,1740992189.503476542,62,59413444695554920
8512,1740992189.503485642,152,8073980214501698185
8513,1740992189.503646825,62,59413444695554920
8514,1740992189.503755200,152,8073980214501698185
8515,1740992189.503973682,62,59413444695554920
8516,1740992189.504471731,149,8073980214501698185
8517,1740992189.504706807,62,59413444695554920
8518,1740992189.518148974,178,8073980214501698185
8519,1740992189.518288153,150,8073980214501698185
8520,1740992189.518390807,150,8073980214501698185
8521,1740992189.518438394,62,59413444695554920
8522,1740992189.518438563,62,59413444695554920
8523,1740992189.518438591,62,59413444695554920
8524,1740992189.518516800,151,8073980214501698185
8525,1740992189.518783590,62,59413444695554920
8526,1740992189.518871757,149,8073980214501698185
8527,1740992189.519054181,149,8073980214501698185
8528,1740992189.519054615,62,59413444695554920
8529,1740992189.519233060,62,59413444695554920
8530,1740992189.519422529,146,8073980214501698185
8531,1740992189.519681937,62,59413444695554920
8532,1740992189.526919843,170,8073980214501698185
8533,1740992189.527560623,62,59413444695554920
8534,1740992189.539004400,1348,59413444695554920
8535,1740992189.560433478,11745,59413444695554920
8536,1740992189.560462039,56,8073980214501698185
8537,1740992189.560495683,584,-8617121821710749634
8538,1740992189.560495705,3328,59413444695554920
8539,1740992189.560519664,56,8073980214501698185
8540,1740992189.580757680,2968,59413444695554920
8541,1740992189.580780239,56,8073980214501698185
8542,1740992189.581762479,2968,59413444695554920
8543,1740992189.581771599,56,8073980214501698185
8544,1740992189.582893496,2968,59413444695554920
8545,1740992189.582918261,56,8073980214501698185
8546,1740992189.584204162,2968,59413444695554920
8547,1740992189.584209469,56,8073980214501698185
8548,1740992189.586380971,2968,59413444695554920
8549,1740992189.586387504,56,8073980214501698185
8550,1740992189.589295748,5880,59413444695554920
8551,1740992189.589498816,56,8073980214501698185
8552,1740992189.593483482,2968,59413444695554920
8553,1740992189.593501532,56,8073980214501698185
8554,1740992189.601392583,56,-3061772637988331940
8555,1740992189.607445310,17528,59413444695554920
8556,1740992189.607523712,56,8073980214501698185
8557,1740992189.622106821,20482,59413444695554920
8558,1740992189.622254959,56,8073980214501698185
8559,1740992189.689693105,142,8073980214501698185
8560,1740992189.689952511,62,59413444695554920
8561,1740992189.731123279,3681,59413444695554920
8562,1740992189.731160104,56,8073980214501698185
8563,1740992189.754935639,187,-3061772637988331940
8564,1740992189.755015729,846,-3061772637988331940
8565,1740992189.755249943,62,-8617121821710749634
8566,1740992189.755351204,62,-8617121821710749634
8567,1740992189.801107311,187,-3061772637988331940
8568,1740992189.801209261,1246,-3061772637988331940
8569,1740992189.801296197,1904,-3061772637988331940
8570,1740992189.801397591,62,-8617121821710749634
8571,1740992189.801434701,62,-8617121821710749634
8572,1740992189.801468192,62,-8617121821710749634
8573,1740992189.801468215,62,-8617121821710749634
8574,1740992189.935706636,104,-8617121821710749634
8575,1740992189.935730482,56,-3061772637988331940
8576,1740992189.936740614,104,-8617121821710749634
8577,1740992189.936751987,56,-3061772637988331940
8578,1740992189.944793808,536,-8617121821710749634
8579,1740992189.944817129,56,-3061772637988331940
8580,1740992190.029682573,104,-8617121821710749634
8581,1740992190.029713890,56,-3061772637988331940
8582,1740992190.032353344,536,-8617121821710749634
8583,1740992190.032376799,56,-3061772637988331940
8584,1740992190.063445922,88,-2714880945027232151
8585,1740992190.510451010,56,8375955751823883961
8586,1740992190.510542692,56,-3975441982747202023
8587,1740992191.534440107,56,-3975441982747202023
8588,1740992191.534533190,56,8375955751823883961
8589,1740992191.534561470,62,5420175030303798666
8590,1740992191.534727995,62,2325579783511252280
8591,1740992191.940975119,187,-3061772637988331940
8592,1740992191.941057544,979,-3061772637988331940
8593,1740992191.941369988,62,-8617121821710749634
8594,1740992191.941370216,62,-8617121821710749634
8595,1740992191.952875002,586,7913549843078753958
8596,1740992191.953232049,62,2204066085779568804
8597,1740992192.075049974,119,-2781381511577501702
8598,1740992192.075222672,95,-7223756059177484785
8599,1740992192.075368601,80,-7223756059177484785
8600,1740992192.075471735,62,-2781381511577501702
8601,1740992192.075537834,62,-2781381511577501702
8602,1740992192.200757822,7236,2204066085779568804
8603,1740992192.200758212,5800,2204066085779568804
8604,1740992192.200792982,56,7913549843078753958
8605,1740992192.200819606,56,7913549843078753958
8606,1740992192.201346198,4619,2204066085779568804
8607,1740992192.201362077,56,7913549843078753958
8608,1740992192.202527434,3039,2204066085779568804
8609,1740992192.202547107,56,7913549843078753958
8610,1740992192.214654533,104,-8617121821710749634
8611,1740992192.214685555,56,-3061772637988331940
8612,1740992192.220233116,536,-8617121821710749634
8613,1740992192.220257646,56,-3061772637988331940
8614,1740992192.309074643,187,-3061772637988331940
8615,1740992192.309147550,855,-3061772637988331940
8616,1740992192.309495166,62,-8617121821710749634
8617,1740992192.309495383,62,-8617121821710749634
8618,1740992192.346787759,187,-3061772637988331940
8619,1740992192.346889610,1246,-3061772637988331940
8620,1740992192.346974673,1908,-3061772637988331940
8621,1740992192.347082556,62,-8617121821710749634
8622,1740992192.347136252,62,-8617121821710749634
8623,1740992192.347165436,62,-8617121821710749634
8624,1740992192.347165460,62,-8617121821710749634
8625,1740992192.481318677,104,-8617121821710749634
8626,1740992192.481340730,56,-3061772637988331940
8627,1740992192.482435637,104,-8617121821710749634
8628,1740992192.482452099,56,-3061772637988331940
8629,1740992192.484473394,536,-8617121821710749634
8630,1740992192.484488570,56,-3061772637988331940
8631,1740992192.558420166,56,-8373082691200630986
8632,1740992192.558726466,62,939607426693055362
8633,1740992192.580174332,104,-8617121821710749634
8634,1740992192.580200011,56,-3061772637988331940
8635,1740992192.583068276,536,-8617121821710749634
8636,1740992192.583085775,56,-3061772637988331940
8637,1740992192.638494140,56,157114784934618691
8638,1740992192.800857647,56,83992098632958487
8639,1740992192.801198566,62,6642947841170015373
